,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,months_since_released,mthly_streams
54,Another Love,Tom Odell,1,2012,10,15,18371,83,1813673666,123,E,Minor,45,13,54,70,0,9,4,136,13335836.0
55,Blinding Lights,The Weeknd,1,2019,11,29,43899,69,3703895074,171,C#,Major,50,38,80,0,0,9,7,49,75589695.0
56,Moonlight,Kali Uchis,1,2023,2,24,2649,42,256483385,137,G,Minor,64,88,72,51,0,17,5,10,25648338.0
57,La Bachata,Manuel Turizo,1,2022,5,26,6804,45,1214083358,125,G,Minor,84,85,68,58,0,22,4,19,63899124.0
58,S91,Karol G,1,2023,7,14,525,41,16011326,128,0,Minor,86,42,72,59,0,9,19,5,3202265.0
59,cardigan,Taylor Swift,1,2020,7,24,7923,29,812019557,130,0,Minor,61,53,58,55,0,27,4,41,19805355.0
60,Tï¿½ï¿,"dennis, MC Kevin o Chris",2,2023,5,4,731,15,111947664,130,B,Major,86,59,96,50,1,9,5,8,13993458.0
61,Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,2023,2,3,5184,41,156338624,133,F,Major,70,86,81,25,0,25,5,11,14212602.0
62,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,2022,6,24,3107,39,720434240,101,D,Major,88,72,59,62,0,9,3,18,40024124.0
63,BESO,"Rauw Alejandro, ROSALï¿½",2,2023,3,24,4053,50,357925728,95,F,Minor,77,53,64,74,0,17,14,9,39769525.0
64,Hey Mor,"Ozuna, Feid",2,2022,10,6,4637,38,674072710,98,C#,Minor,90,40,59,0,0,10,29,15,44938181.0
65,Yellow,Chris Molitor,1,1999,1,1,31358,43,1755214421,173,B,Major,43,28,66,0,0,23,3,304,5773732.0
66,Karma,Taylor Swift,1,2022,10,21,3818,23,404562836,90,G#,Major,64,10,62,7,0,48,7,14,28897345.0
67,People,Libianca,1,2022,12,2,3506,56,373199958,198,A#,Minor,59,71,42,55,0,10,7,13,28707689.0
68,Overdrive,Post Malone,1,2023,7,14,410,36,14780425,140,C#,Major,56,48,73,0,0,35,4,5,2956085.0
69,Enchanted (Taylor's Version),Taylor Swift,1,2023,7,7,148,24,39578178,82,G#,Major,51,22,53,1,0,15,3,5,7915636.0
70,BABY HELLO,"Rauw Alejandro, Bizarrap",2,2023,6,23,1004,35,54266102,130,C#,Minor,77,84,89,17,0,43,5,6,9044350.0
71,Heat Waves,Glass Animals,1,2020,6,28,22543,63,2557975762,81,B,Major,76,53,53,44,0,9,9,42,60904185.0
72,golden hour,JVKE,1,2022,7,15,4511,36,751134527,94,C#,Minor,51,14,59,65,18,25,3,17,44184384.0
73,Sweater Weather,The Neighbourhood,1,2012,5,14,16413,61,2282771485,124,A#,Major,61,41,81,5,2,10,3,141,16189869.0
74,"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,7,6,8506,45,1356565093,128,D,Major,62,55,78,1,3,23,4,18,75364727.0
75,Viva La Vida,Coldplay,1,2008,1,1,33898,62,1592909789,138,F,Minor,49,42,62,9,0,11,3,194,8210875.0
76,Here With Me,d4vd,1,2022,7,17,3246,23,635412045,132,E,Major,58,27,48,50,0,12,3,17,37377179.0
77,Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,9,22,8576,42,1230675890,131,D,Major,71,24,47,1,0,27,9,15,82045059.0
78,Yandel 150,"Yandel, Feid",2,2022,12,20,3618,38,585695368,168,F#,Minor,78,58,73,5,0,10,7,12,48807947.0
79,CORAZï¿½ï¿½N VA,Maria Becerra,1,2023,6,22,370,20,43857627,98,C#,Major,68,40,79,33,0,30,6,6,7309604.0
80,Riptide,Vance Joy,1,1975,1,1,31123,55,2009094673,102,C#,Major,48,50,73,43,0,15,4,596,3370964.0
81,Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2022,4,22,2790,30,600976848,101,A#,Major,34,32,57,78,0,20,3,20,30048842.0
82,Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",2,2023,6,23,267,9,39709092,130,F,Major,63,36,34,76,0,35,9,6,6618182.0
83,Back To December (Taylor's Version),Taylor Swift,1,2023,7,7,139,17,39228929,142,D,Major,50,20,64,1,0,12,3,5,7845786.0
84,STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,7,9,17050,36,2665343922,170,C#,Major,59,48,76,4,0,10,5,30,88844797.0
85,El Merengue,"Marshmello, Manuel Turizo",2,2023,3,3,2114,44,223633238,124,G#,Minor,78,70,68,3,1,11,4,10,22363324.0
86,Someone You Loved,Lewis Capaldi,1,2018,11,8,17836,53,2887241814,110,C#,Major,50,45,41,75,0,11,3,62,46568416.0
87,Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,5,6,8870,43,1440757818,92,C#,Minor,91,43,71,9,0,9,8,20,72037891.0
88,Makeba,Jain,1,2015,6,22,6060,53,165484133,116,D,Major,82,40,66,39,51,25,7,103,1606642.0
89,MONTAGEM - FR PUNK,"Ayparia, unxbected",2,2012,6,20,641,50,58054811,129,A,Major,63,84,82,70,8,9,7,140,414677.0
90,Fast Car,Luke Combs,1,2023,3,24,1446,12,157058870,98,G#,Major,71,67,60,19,0,12,3,9,17450986.0
91,What It Is (Solo Version),Doechii,1,2023,3,17,804,25,95131998,172,C#,Minor,74,76,76,6,0,10,9,9,10570222.0
92,Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,3,17,1962,38,250305248,150,D,Major,68,14,76,4,0,10,4,9,27811694.0
93,Donï¿½ï¿½ï¿½t Bl,Taylor Swift,1,2017,11,8,4875,23,685032533,136,A,Minor,62,19,53,11,0,6,4,74,9257196.0
94,Still With You,Jung Kook,1,2020,6,5,31,39,38411956,88,C#,Minor,53,34,47,9,0,83,4,43,893301.0
95,All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2023,5,12,2175,23,144565150,143,D#,Major,83,69,44,15,0,10,33,7,20652164.0
96,Say Yes To Heaven,Lana Del Rey,1,2023,3,17,2000,46,127567540,100,F#,Minor,49,17,35,71,9,11,3,9,14174171.0
97,Snooze,SZA,1,2022,12,9,2839,25,399686758,143,F,Major,56,39,55,14,0,11,13,12,33307230.0
98,Summertime Sadness,Lana Del Rey,1,2011,1,1,20333,52,983637508,112,C#,Minor,56,24,66,7,0,12,3,158,6225554.0
99,Take Two,BTS,1,2023,6,9,674,47,118482347,93,G,Major,62,57,59,3,0,38,3,6,19747058.0
100,Lover,Taylor Swift,1,2012,1,1,8448,23,882831184,206,G,Major,43,50,55,50,0,15,10,146,6046789.0
101,Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,2022,12,2,2110,58,286400165,88,G,Minor,68,17,71,15,0,11,5,13,22030782.0
102,Chemical,Post Malone,1,2023,4,14,2528,39,172825906,170,D,Major,50,37,90,0,0,12,5,8,21603238.0
103,Mockingbird,Eminem,1,2004,1,1,12985,61,1241559043,84,E,Minor,62,24,67,21,0,13,28,243,5109296.0
104,New Jeans,NewJeans,1,2023,7,7,77,35,29562220,134,E,Minor,81,53,72,51,0,12,5,5,5912444.0
105,Primera Cita,Carin Leon,1,2022,4,20,266,27,77309611,158,A#,Major,54,50,40,61,0,10,6,20,3865481.0
106,Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3,2017,11,10,21097,52,1605224506,116,C#,Major,80,92,80,4,0,10,3,74,21692223.0
107,Dandelions,Ruth B.,1,2017,4,28,3423,21,1116995633,117,C#,Major,61,45,69,2,0,9,3,81,13790070.0
108,Bones,Imagine Dragons,1,2021,3,11,4198,44,838079900,114,F,Minor,77,65,72,2,0,7,5,34,24649409.0
109,Set Fire to the Rain,Adele,1,2011,1,1,14739,43,1163620694,108,D,Minor,61,47,68,0,0,13,3,158,7364688.0
110,Money Trees,"Kendrick Lamar, Jay Rock",2,2012,1,1,26792,32,1093605526,144,E,Minor,74,37,53,7,0,21,10,146,7490449.0
111,Tak Segampang Itu,Anggi Marito,1,2022,12,2,213,6,179659294,130,F,Major,51,18,44,76,0,11,3,13,13819946.0
112,LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,6,22,58,18,39058561,116,B,Major,77,79,62,33,1,15,3,6,6509760.0
113,Mine (Taylor's Version),Taylor Swift,1,2023,7,7,99,15,36912123,121,G,Major,65,49,78,0,0,17,4,5,7382425.0
114,Everybody Wants To Rule The World,Tears For Fears,1,1985,2,17,41751,25,1205951614,112,G,Major,64,54,81,36,0,11,6,473,2549581.0
115,No Role Modelz,J. Cole,1,2014,12,9,21164,36,1791000570,100,A#,Minor,70,47,52,30,0,6,33,110,16281823.0
116,Tattoo,Loreen,1,2023,2,25,2988,59,201660859,150,D#,Minor,55,30,78,24,0,12,8,10,20166086.0
117,Rara Vez,"Taiu, Milo j",2,2023,2,8,893,38,248088961,120,F,Minor,84,96,71,18,0,34,17,10,24808896.0
118,VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï",3,2023,5,12,1094,34,90839753,127,B,Minor,82,89,85,4,0,23,6,7,12977108.0
119,august,Taylor Swift,1,2020,7,24,7324,22,607123776,90,F,Major,51,42,61,53,0,9,3,41,14807897.0
120,LUNA,"Junior H, Peso Pluma",2,2023,6,22,201,11,55842345,128,A,Minor,75,79,63,33,0,15,4,6,9307058.0
121,Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2,2023,3,10,5120,48,211050784,143,A,Major,64,31,87,4,4,8,4,9,23450087.0
122,Nonsense,Sabrina Carpenter,1,2022,7,15,2346,27,342897938,139,G#,Major,74,68,68,3,0,26,4,17,20170467.0
123,Que Vuelvas,"Carin Leon, Grupo Frontera",2,2022,12,9,763,26,2762,162,A#,Major,49,78,64,19,0,11,4,12,230.0
124,Por las Noches,Peso Pluma,1,2021,6,11,457,24,330346424,92,0,Major,81,39,60,31,0,7,3,31,10656336.0
125,Feliz Cumpleaï¿½ï¿½os Fe,Feid,1,2022,8,19,3430,38,601863821,95,F,Major,87,57,55,10,0,29,7,16,37616489.0
126,Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",3,2011,8,16,6074,52,1953533826,146,D,Major,63,88,93,3,0,10,8,150,13023559.0
127,Watermelon Sugar,Harry Styles,1,2019,11,17,21915,34,2322580122,95,0,Major,55,56,82,12,0,34,5,50,46451602.0
128,lovely - Bonus Track,"Billie Eilish, Khalid",2,2017,8,11,15032,30,2355719893,115,E,Minor,35,12,30,93,0,10,3,77,30593765.0
129,"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2,2023,6,21,871,32,66902503,128,B,Major,78,59,65,10,0,26,5,6,11150417.0
130,Queencard,(G)I-DLE,1,2023,5,15,451,33,96273746,130,E,Minor,82,69,83,3,0,27,5,7,13753392.0
131,OMG,NewJeans,1,2023,1,2,1783,27,430977451,127,A,Minor,80,74,77,36,0,11,4,12,35914788.0
132,Radio,Lana Del Rey,1,2011,1,1,9389,46,284819874,150,D,Major,42,20,86,21,0,9,9,158,1802657.0
133,"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2,2023,1,11,5724,44,721975598,122,D,Minor,78,50,63,27,0,9,5,11,65634145.0
134,505,Arctic Monkeys,1,2007,4,20,13985,25,1217120710,140,0,Major,52,20,85,0,0,7,5,203,5995669.0
135,"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",4,2023,6,2,1051,16,109276132,140,0,Major,63,22,54,46,0,12,8,7,15610876.0
136,Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",3,2022,12,2,1682,46,276259178,119,C#,Minor,75,48,53,18,0,18,34,13,21250706.0
137,"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5,2023,5,22,182,8,54225632,110,G,Minor,76,96,72,32,0,9,4,7,7746519.0
138,Perfect,Ed Sheeran,1,2017,1,1,16596,13,2559529074,95,G#,Major,60,17,45,16,0,11,2,85,30112107.0
139,Romantic Homicide,d4vd,1,2022,7,20,2335,23,681583126,132,F#,Major,56,20,55,45,1,32,3,17,40093125.0
140,Believer,Imagine Dragons,1,2017,1,31,18986,23,2594040133,125,A#,Minor,77,74,78,4,0,23,11,84,30881430.0
141,Novo Balanï¿½,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",4,2023,5,19,283,7,81102253,124,D#,Minor,84,65,50,67,0,13,6,7,11586036.0
142,"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2,2023,6,1,293,8,11956641,133,B,Minor,93,68,65,42,0,12,25,7,1708092.0
143,Without Me,Eminem,1,2002,1,1,21081,43,1687664027,112,G,Major,92,67,66,0,0,36,9,267,6320839.0
144,QUEMA,"Sog, Ryan Castro, Peso Pluma",3,2023,7,13,437,31,11599388,97,0,Major,79,92,89,5,0,6,5,5,2319878.0
145,Stargirl Interlude,"The Weeknd, Lana Del Rey",2,2016,11,24,1275,32,611700552,90,F,Minor,59,52,48,38,5,10,11,86,7112797.0
146,Ojitos Lindos,"Bomba Estï¿½ï¿½reo, Bad B",2,2022,5,6,6135,38,1133865788,80,D#,Minor,65,27,69,8,0,53,4,20,56693289.0
147,Somewhere Only We Know,Keane,1,2004,1,1,20015,16,1089402494,172,A,Major,45,33,59,6,0,8,3,243,4483138.0
148,Those Eyes,New West,1,2019,5,10,1507,14,411747614,120,E,Major,60,24,35,73,0,31,3,56,7352636.0
149,El Gordo Trae El Mando,Chino Pacas,1,2023,1,27,539,21,255932395,140,G,Minor,74,96,80,18,0,5,5,11,23266581.0
150,Mi Bello Angel,Natanael Cano,1,2023,6,30,86,8,31873544,128,A,Minor,81,90,77,1,0,9,5,6,5312257.0
151,Bye,Peso Pluma,1,2023,5,26,324,14,95053634,122,0,Major,78,70,81,57,0,10,5,7,13579091.0
152,Danza Kuduro,"Don Omar, Lucenzo",2,2010,1,1,17138,37,1279434863,130,0,Major,47,86,92,8,0,5,24,170,7526087.0
153,Nosso Quadro,"Ana Castela, AgroPlay",2,2023,2,2,894,9,233801632,160,A,Major,69,61,71,33,0,31,20,11,21254694.0
154,Locked Out Of Heaven,Bruno Mars,1,2012,12,5,1622,9,1481349984,144,F,Major,73,87,70,6,0,28,5,134,11054851.0
155,Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",3,2023,4,4,561,14,142095275,192,B,Major,50,85,52,11,0,28,6,9,15788364.0
156,Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",2,2022,6,17,5871,27,618885532,163,0,Major,54,40,67,0,0,9,17,18,34382530.0
157,Counting Stars,OneRepublic,1,2013,1,1,29215,43,2011464183,122,C#,Minor,66,48,71,6,0,12,4,133,15123791.0
158,Ghost,Justin Bieber,1,2021,3,19,5866,24,1167330737,154,D,Major,61,41,74,21,0,40,6,33,35373659.0
159,Under The Influence,Chris Brown,1,2019,10,4,3859,26,929964809,117,A,Minor,73,31,69,6,0,11,4,51,18234604.0
160,PRC,"Natanael Cano, Peso Pluma",2,2023,1,23,961,26,436027885,138,G,Minor,78,89,83,10,0,12,5,11,39638899.0
161,Gasolina,Daddy Yankee,1,2004,7,13,6457,18,657723613,96,0,Major,86,74,80,33,0,8,6,237,2775205.0
162,One Dance,"Drake, WizKid, Kyla",3,2016,4,4,43257,24,2713922350,104,C#,Major,77,36,63,1,0,36,5,94,28871514.0
163,Enchanted,Taylor Swift,1,2010,1,1,4564,16,621660989,164,G#,Major,45,24,62,8,0,16,3,170,3656829.0
164,Save Your Tears,The Weeknd,1,2020,3,20,12688,13,1591223784,118,0,Major,68,61,82,2,0,50,3,46,34591821.0
165,Sure Thing,Miguel,1,2010,5,25,13801,19,950906471,81,B,Minor,68,51,60,3,0,19,10,165,5763070.0
166,Every Breath You Take - Remastered 2003,The Police,1,1983,1,6,22439,19,1593270737,117,C#,Major,82,73,45,54,0,7,3,498,3199339.0
167,The Night We Met,Lord Huron,1,2015,2,2,18515,35,1410088830,174,D,Major,45,10,37,97,25,64,4,108,13056378.0
168,We Found Love,"Rihanna, Calvin Harris",2,2011,1,1,36843,21,1235005533,128,C#,Major,73,60,77,3,0,11,4,158,7816491.0
169,When I Was Your Man,Bruno Mars,1,2012,12,5,2420,11,1661187319,145,0,Major,60,43,27,94,0,14,4,134,12396920.0
170,Let Me Down Slowly,Alec Benjamin,1,2018,5,25,5897,19,1374581173,150,C#,Minor,65,51,55,73,0,14,3,68,20214429.0
171,"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",3,2023,6,2,727,16,94186466,90,A,Minor,60,13,53,4,0,21,4,7,13455209.0
172,Do I Wanna Know?,Arctic Monkeys,1,2013,1,1,33783,26,1788326445,85,F,Major,55,42,53,17,0,22,3,133,13446063.0
173,Demons,Imagine Dragons,1,2012,1,1,26694,13,1840364617,180,D#,Major,33,38,71,20,0,28,5,146,12605237.0
174,ýýýýýýýýýýýý,YOASOBI,1,2023,4,12,356,16,143573775,166,C#,Major,57,84,94,11,0,37,9,8,17946722.0
175,Reminder,The Weeknd,1,2016,11,25,6518,17,684675814,160,G#,Major,71,40,50,16,0,16,22,86,7961347.0
176,Shake It Off,Taylor Swift,1,2014,1,1,21335,13,1113838873,160,G,Major,65,95,80,5,0,41,16,121,9205280.0
177,Why'd You Only Call Me When You're High?,Arctic Monkeys,1,2013,1,1,23389,29,1267333350,92,D,Major,70,81,63,4,0,8,4,133,9528822.0
178,SNAP,Rosa Linn,1,2022,3,19,3202,18,726307468,170,0,Major,56,53,64,11,0,45,6,21,34586070.0
179,Shape of You,Ed Sheeran,1,2017,1,6,32181,10,3562543890,96,C#,Minor,83,93,65,58,0,9,8,85,41912281.0
180,Night Changes,One Direction,1,2014,11,17,7124,18,1131090940,120,G#,Major,67,40,52,86,0,12,4,111,10190008.0
181,Fin de Semana,"Oscar Maydon, Junior H",2,2023,1,13,592,14,307370144,98,0,Major,70,37,54,6,0,9,8,11,27942740.0
182,Creep,Radiohead,1,1992,9,21,36724,7,1271293243,92,G,Major,53,12,34,1,0,12,4,380,3345509.0
183,Car's Outside,James Arthur,1,2019,10,18,794,10,265882712,150,A,Major,34,24,56,4,0,11,3,51,5213387.0
184,Apocalypse,Cigarettes After Sex,1,2017,3,21,13091,17,841749534,94,F,Major,37,17,47,2,46,11,3,82,10265238.0
185,Cheques,Shubh,1,2023,5,19,67,8,47956378,90,E,Minor,74,36,63,26,0,27,5,7,6850911.0
186,Pink + White,Frank Ocean,1,2016,8,20,21574,30,806397070,160,A,Major,54,54,55,67,0,42,11,89,9060641.0
187,Circles,Post Malone,1,2019,8,30,19664,16,2132335812,120,0,Major,70,59,75,24,0,9,4,52,41006458.0
188,Just The Way You Are,Bruno Mars,1,2010,1,1,21106,13,1641426668,109,F,Major,63,46,85,1,0,9,5,170,9655451.0
189,Take Me To Church,Hozier,1,2013,9,13,23804,31,2135158446,129,E,Minor,57,41,66,63,0,12,5,125,17081268.0
190,Bebe Dame,"Fuerza Regida, Grupo Frontera",2,2022,12,16,849,22,367316268,157,G,Major,54,75,60,30,0,7,5,12,30609689.0
191,You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,1,2021,4,9,2619,12,350381515,130,F#,Major,63,49,73,5,0,9,3,33,10617622.0
